timestamp,fold,accuracy,f1_weighted,macro_f1,CD_precision,CD_recall,CD_f1,HYP_precision,HYP_recall,HYP_f1,MI_precision,MI_recall,MI_f1,NORM_precision,NORM_recall,NORM_f1,STTC_precision,STTC_recall,STTC_f1
2025-05-05_17-38-01,1,0.968275862,0.968673892,0.940735875,0.969135802,0.969135802,0.969135802,0.770833333,0.853846154,0.810218978,0.96350365,0.927400468,0.945107399,0.991631799,0.998946259,0.995275591,0.991176471,0.976811594,0.983941606
2025-05-05_17-38-01,2,0.971572673,0.971901253,0.951048122,0.978978979,0.970238095,0.974588939,0.816326531,0.902255639,0.857142857,0.95465995,0.938118812,0.946317104,0.989909183,0.995939086,0.99291498,1,0.969040248,0.98427673
2025-05-05_17-38-01,3,0.965784672,0.96588052,0.938748417,0.96941896,0.957703927,0.963525836,0.814569536,0.82,0.817275748,0.929268293,0.954887218,0.941903585,0.994017946,0.997,0.99550674,0.993355482,0.958333333,0.975530179
2025-05-05_17-38-01,4,0.966881325,0.96714071,0.940194891,0.960486322,0.943283582,0.951807229,0.798507463,0.849206349,0.823076923,0.941451991,0.943661972,0.942555686,0.993650794,0.996815287,0.995230525,0.997050147,0.979710145,0.988304094
2025-05-05_17-38-01,5,0.96826127,0.969079749,0.939516089,0.974025974,0.961538462,0.967741935,0.735714286,0.895652174,0.807843137,0.960465116,0.92393736,0.941847206,0.993756504,0.998953975,0.996348461,0.997014925,0.970930233,0.983799705
2025-05-05_17-38-01,6,0.967326277,0.967617995,0.945597027,0.960486322,0.969325153,0.964885496,0.808917197,0.907142857,0.855218855,0.961165049,0.918793503,0.939501779,0.993723849,0.998948475,0.996329313,0.981191223,0.963076923,0.972049689
2025-05-05_17-38-01,7,0.968290441,0.968972694,0.935637351,0.981481481,0.972477064,0.976958525,0.720930233,0.845454545,0.778242678,0.968215159,0.920930233,0.94398093,0.987915408,0.997965412,0.99291498,0.99376947,0.978527607,0.986089645
2025-05-05_17-38-01,8,0.973768983,0.974011366,0.949525648,0.979166667,0.967647059,0.973372781,0.807142857,0.856060606,0.830882353,0.958230958,0.948905109,0.953545232,0.993736952,0.997903564,0.9958159,1,0.988095238,0.994011976
2025-05-05_17-38-01,9,0.974805314,0.974826412,0.954052929,0.973372781,0.967647059,0.970501475,0.85106383,0.863309353,0.857142857,0.959798995,0.952618454,0.956195244,0.991769547,0.998963731,0.99535364,0.997005988,0.985207101,0.991071429
2025-05-05_17-38-01,10,0.969517743,0.969919829,0.939146075,0.965616046,0.96011396,0.962857143,0.766129032,0.840707965,0.801687764,0.955665025,0.944038929,0.949816401,0.991811668,0.99691358,0.99435608,1,0.974358974,0.987012987
,,,,,,,,,,,,,,,,,,,
Average,,0.969448456,0.969802442,0.943420243,0.971216934,0.963911016,0.967537516,0.78901343,0.863363564,0.823873215,0.955242418,0.937329206,0.946077057,0.992192365,0.997834937,0.995004621,0.995056371,0.97440914,0.984608804
Overall %,,96.94484559,96.98024419,94.34202425,97.12169335,96.39110164,96.75375162,78.90134298,86.33635642,82.3873215,95.52424184,93.73292059,94.60770566,99.2192365,99.78349369,99.50046208,99.50563706,97.44091396,98.46088039